wavelength,Cycle_1_0,Cycle_2_0,Cycle_3_0,Cycle_4_0,Cycle_5_0,Cycle_6_0,,Peak Spectroscopy,,,
324.107,13700.5748,16875.7146,10004.5655,1696.6083,5989.1233,2987.281,,,,,
324.108,14034.9467,19305.6298,9645.6021,1941.089,5663.6889,2657.7335,,,,,
324.109,12069.1606,18995.3521,8828.0482,1826.0672,5674.6534,2809.4356,,,,,
324.11,13654.3874,17921.491,9018.076,1896.8587,5509.6417,2578.1369,,,,,
324.111,14595.7634,17198.9078,7442.6375,1877.6716,5592.103,2735.6559,,,,,
324.112,15258.8696,16981.9215,8196.4317,2182.7019,4918.2538,2350.7565,,,,,
324.113,14144.3695,18729.9463,8953.0607,2291.8102,4501.2336,2604.2786,,,,,
324.114,16136.4944,18347.6966,8525.9721,2232.8618,4831.2838,2289.9773,,,,,
324.115,16560.1851,19244.3801,6842.3839,2562.1828,3861.2715,2204.8279,,,,,
324.116,17115.7734,16814.7884,7486.9265,2675.8298,4347.8713,2027.1198,,,,,
324.117,17620.609,18410.9496,7158.2158,2819.1685,4280.5647,1859.7278,,,,,
324.118,17053.2786,16888.7873,7189.0011,3077.6399,3596.0028,2052.8677,,,,,
324.119,17276.9338,18161.0876,6557.5999,2700.5584,3818.2683,1690.4472,,,,,
324.12,17739.2421,15919.5953,7202.9314,3304.8215,3218.6603,1645.2336,,,,,
324.121,18160.328,14909.7227,7576.5856,3003.9269,3238.898,2033.7372,,,,,
324.122,17370.4593,15088.7587,7135.4003,3264.4253,3452.6011,1992.9411,,,,,
324.123,17390.2113,16377.4328,7371.6598,3417.9434,2718.8749,1616.7672,,,,,
324.124,19644.751,13640.3239,6851.8895,3852.0311,3231.789,1552.2264,,,,,
324.125,19981.5319,15410.0599,5952.0692,4238.5628,2863.5937,1609.7643,,,,,
324.126,19118.0826,14930.1369,5843.3348,4854.4114,2618.4384,1423.0864,,,,,
324.127,19378.0954,14506.2061,6500.9359,4302.5684,2448.6013,1434.1921,,,,,
324.128,18679.5157,14504.7777,6861.0652,4850.6829,2450.7311,1697.6457,,,,,
324.129,19628.1004,13487.6348,6529.8027,5382.1906,2288.6587,1432.6419,,,,,
324.13,19989.1685,14354.9454,6022.4646,5012.9162,2401.1438,1489.3072,,,,,
324.131,18117.268,15641.3602,5956.7582,5833.2652,1918.9366,1559.0061,,,,,
324.132,17702.6691,15728.5631,5921.5904,6032.8517,2443.2392,1317.1214,,,,,
324.133,18206.2836,15796.2745,5611.668,6749.1554,2334.0103,1242.3431,,,,,
324.134,19995.7291,16821.1332,5441.4298,7422.513,2158.2694,1605.7848,,,,,
324.135,19639.4532,17757.8315,5375.3345,7492.0401,2320.3974,1449.0961,,,,,
324.136,19670.2687,18415.8035,5549.6721,7407.7149,1802.8431,1351.7507,,,,,
324.137,16714.6429,16190.4643,5706.7367,8994.4274,2125.5501,1447.1851,,,,,
324.138,19263.7534,18319.1538,5870.5285,9002.881,1805.674,1473.5038,,,,,
324.139,17442.208,18983.1894,4927.3548,9792.5599,2005.8779,1325.1909,,,,,
324.14,16845.1094,20160.3411,5394.7637,9168.8718,2110.367,1295.3296,,,,,
324.141,16993.2615,20302.8193,5624.7622,11967.4968,1828.3146,1430.1921,,,,,
324.142,16245.6695,22511.7168,5033.9746,11244.6926,1533.3443,1537.4218,,,,,
324.143,17609.4547,22485.241,5160.8779,12165.3957,2020.8794,1335.5765,,,,,
324.144,14876.9424,21700.1276,5328.0378,12920.2413,1977.9547,1167.9583,,,,,
324.145,15814.2163,20535.9181,5357.7829,13879.1757,2047.6617,1264.28,,,,,
324.146,15881.4099,21112.3387,5281.1541,13895.6712,2101.9575,1636.825,,,,,
324.147,15366.1332,20163.6854,4760.7711,13904.1638,1868.0546,1328.2961,,,,,
324.148,14408.9093,21439.0264,5598.5534,15752.5494,2222.5897,1485.2514,,,,,
324.149,14893.6514,20529.5923,5564.5893,15788.1377,1966.2153,1428.9961,,,,,
324.15,14156.2498,22003.0002,5238.2585,15158.7593,2477.9011,1132.8323,,,,,
324.151,13427.7209,23265.7606,5694.8105,16686.3057,2263.6988,1535.9515,,,,,
324.152,14038.9489,21846.1014,5284.4503,17729.0208,2096.1927,1172.3191,,,,,
324.153,12794.1063,21690.4583,4721.5288,16195.5416,2631.105,1483.1673,,,,,
324.154,14336.0996,20695.2442,5407.4904,16853.5633,2118.0783,1369.4525,,,,,
324.155,12548.97,21776.454,6164.5197,17549.8208,2140.3731,1800.2297,,,,,
324.156,12711.1136,19820.9756,5316.7151,17295.464,2196.2267,1537.1594,,,,,
324.157,11912.6168,20513.7606,5601.6542,15976.9582,2181.7321,1407.8397,,,,,
324.158,13233.8013,19502.0959,5856.6635,16788.0051,2249.5539,1566.7712,,,,,
324.159,11203.3055,19304.6225,6358.9768,17749.2838,2174.3858,1870.5425,,,,,
324.16,12575.7606,16637.5064,5352.2043,16849.0545,2270.1147,1639.6842,,,,,
324.161,10980.7184,16755.2021,6896.9547,16337.4138,2618.1307,1770.507,,,,,
324.162,10926.3837,17806.2677,6237.4673,16414.2656,2669.1625,1546.708,,,,,
324.163,11561.5786,16991.2242,7072.8093,14381.6901,2389.7434,1961.5826,,,,,
324.164,11041.2064,17051.8213,7044.0038,15450.4472,2547.0102,1780.3018,,,,,
324.165,11769.7758,16346.2508,6923.0915,15115.9315,2262.5601,1857.2324,,,,,
324.166,10865.3798,15753.908,6664.2,15839.1147,2223.251,1660.2883,,,,,
324.167,11430.104,15477.4631,7349.3509,14756.9694,2660.9059,1961.5768,,,,,
324.168,10758.4821,14427.8153,7778.9091,14948.1338,2342.996,1810.5824,,,,,
324.169,12240.5158,13615.0219,7361.4863,12901.5024,2348.2073,2074.9574,,,,,
